,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,no_of_investors,lds,year
451,2016-05-12,ONN,eCommerce,"On-demand, self-drive bike rental platform",mumbai,Grace Capital Ventures,Seed Funding,1070000,1.0,['Grace Capital Ventures'],2016
452,2016-06-12,Diro,Consumer Internet,Mobile Contacts Management app,new delhi,Info Edge (India),Seed Funding,147000,1.0,['Info Edge (India)'],2016
453,2016-06-12,THB,Technology,Clinical research and data analytics,gurgaon,"Ajith Sukumaran, Currae Healthtech Fund",Seed Funding,1070000,2.0,"['Ajith Sukumaran', ' Currae Healthtech Fund']",2016
454,2016-07-12,LookAtMe,Consumer Internet,Mobile App based Fashion Network,singapore,Eros Labs,Seed Funding,1070000,1.0,['Eros Labs'],2016
455,2016-07-12,Netree,eCommerce,Mobile-only Retailers Engagement Solution,new delhi,"The Chennai Angels, LetsVenture",Seed Funding,1070000,2.0,"['The Chennai Angels', ' LetsVenture']",2016
456,2016-07-12,BookEventz,Consumer Internet,"Venue, Events Booking platform",mumbai,Investors from Mumbai Angels & LetsVenture,Seed Funding,1070000,1.0,['Investors from Mumbai Angels & LetsVenture'],2016
457,2016-07-12,Tailslife,Consumer Internet,Pet Parenting mobile app,bangalore,"Mohan Kumar, V. Balakrishnan",Seed Funding,1070000,2.0,"['Mohan Kumar', ' V. Balakrishnan']",2016
458,2016-07-12,Revv,Consumer Internet,Self-Driven Car Services booking portal,new delhi,Edelweiss Private Equity,Private Equity,9000000,1.0,['Edelweiss Private Equity'],2016
459,2016-07-12,WealthApp,Consumer Internet,Online Investment Advisory platform,bangalore,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,  Ramkumar Nishtal, Arjun Sharmaa",Seed Funding,440000,6.0,"['Venk Krishnan', ' MJ Aravind', ' Vikram Kotak', ' Jayant Davar', '\xa0 Ramkumar Nishtal', ' Arjun Sharmaa']",2016
460,2016-07-12,Vehico,Technology,Connected Transportation solutions,bangalore,"Calcutta Angel Network, Appliyifi",Seed Funding,1070000,2.0,"['Calcutta Angel Network', ' Appliyifi']",2016
461,2016-08-12,Zest,Consumer Internet,Online Consumer Lending platform,mumbai,PayU,Private Equity,6500000,1.0,['PayU'],2016
462,2016-08-12,GoMechanic,Consumer Internet,Online Car servicing Booking platform,gurgaon,Venture Catalysts,Seed Funding,250000,1.0,['Venture Catalysts'],2016
463,2016-09-12,Stalk,eCommerce,Fashion Apparel eTailer,new delhi,Kalaari Capital,Private Equity,6000000,1.0,['Kalaari Capital'],2016
464,2016-09-12,Nykaa,eCommerce,Beauty Products etailer,mumbai,Max Ventures and Industries,Private Equity,1070000,1.0,['Max Ventures and Industries'],2016
465,2016-09-12,Wittyparot,Technology,Content Management & Productivity platform,bangalore,Mumbai Angels,Seed Funding,450000,1.0,['Mumbai Angels'],2016
466,2016-09-12,NeuroEquilibrium,Technology,Health-Tech platform,jaipur,Unicorn India Ventures,Seed Funding,250000,1.0,['Unicorn India Ventures'],2016
467,2016-12-12,Xseed,Technology,Education & learning Tech platform,bangalore,Verlinvest SA,Private Equity,10000000,1.0,['Verlinvest SA'],2016
468,2016-12-12,Rupaiya,Consumer Internet,P2P Lending platform,new delhi,Undisclosed Investors,Seed Funding,200000,1.0,['Undisclosed Investors'],2016
469,2016-12-12,Doctor,Consumer Internet,Online Doctor Consulting platform,gurgaon,RoundGlass Partners,Private Equity,2000000,1.0,['RoundGlass Partners'],2016
470,2016-12-12,UrbanPiper,Consumer Internet,Self-Branded Websites & Apps for Ecommerce,bangalore,"Axilor, undisclosed investors",Seed Funding,1070000,2.0,"['Axilor', ' undisclosed investors']",2016
471,2016-12-12,Fresh,Food & Beverage,Cold Press Juice manufacturer & seller,new delhi,"Siddhartha Gupta, Ashvin Chadha",Seed Funding,2000000,2.0,"['Siddhartha Gupta', ' Ashvin Chadha']",2016
472,2016-12-13,Indifi,Consumer Internet,Online lending platform,gurgaon,Omidyar Network,Private Equity,10000000,1.0,['Omidyar Network'],2016
473,2016-12-13,GoComet,Logistics,Marketplace for International Freight,mumbai,"India Quotient, Rajul Garg, Rajesh Yabaji, Chanakya Hridaya, Ramasubramaniam B, Vishwanathan, Nobel House, Sunstone Capital",Seed Funding,1070000,8.0,"['India Quotient', ' Rajul Garg', ' Rajesh Yabaji', ' Chanakya Hridaya', ' Ramasubramaniam B', ' Vishwanathan', ' Nobel House', ' Sunstone Capital']",2016
474,2016-12-13,OfBusiness,eCommerce,Online business-to-business (B2B) marketplace,gurgaon,"Zodius Technology Opportunities Fund, Matrix Partners",Private Equity,11100000,2.0,"['Zodius Technology Opportunities Fund', ' Matrix Partners']",2016
475,2016-12-14,Fitmein,Consumer Internet,Fitness Discovery & Booking platform,new delhi,"FiNC, GHV",Seed Funding,1070000,2.0,"['FiNC', ' GHV']",2016
476,2016-12-14,Qacco,Consumer Internet,Hotel Booking platform,gurgaon,"Lead Angels Network, Anbu Pandian, Prabhakar MR & Others",Seed Funding,150000,3.0,"['Lead Angels Network', ' Anbu Pandian', ' Prabhakar MR & Others']",2016
477,2016-12-14,Fitpass,Consumer Internet,Fitness center aggregator & Booking mobile app,new delhi,Mumbai Angels,Seed Funding,1000000,1.0,['Mumbai Angels'],2016
478,2016-12-14,MoEngage,Technology,User analytics and engagement platform,bangalore,Anand Chandrasekaran,Seed Funding,1070000,1.0,['Anand Chandrasekaran'],2016
479,2016-12-14,Ten3t,Technology,medical grade wearable patch maker,bangalore,"V. Krishna Prasad, Bhupen Shah & Others",Seed Funding,1070000,2.0,"['V. Krishna Prasad', ' Bhupen Shah & Others']",2016
480,2016-12-14,Trading,Consumer Internet,Online Share & Commodity Broking platform,indore,Swastika Investmart Ltd,Seed Funding,297000,1.0,['Swastika Investmart Ltd'],2016
481,2016-12-15,SERV,Consumer Internet,Financial Services For Unorganized Workforce,pune,Digital Financial Service Lab,Seed Funding,100000,1.0,['Digital Financial Service Lab'],2016
482,2016-12-15,IdeaForge,Technology,Drone Manufacturing,mumbai,"WRV Capital and IndusAge Partners, Infosys Innovation Fund",Private Equity,10000000,2.0,"['WRV Capital and IndusAge Partners', ' Infosys Innovation Fund']",2016
483,2016-12-15,Amagi,Technology,Media Technology Solutions,mumbai,"Emerald Media, Premji Invest",Private Equity,35000000,2.0,"['Emerald Media', ' Premji Invest']",2016
484,2016-12-15,Pocket,Technology,Digital Entertainment Company,mumbai,"Sequoia Capital India, North Base Media, Aarin Capital, 3one4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon",Private Equity,3000000,7.0,"['Sequoia Capital India', ' North Base Media', ' Aarin Capital', ' 3one4 Capital', ' Axilor Ventures', ' Kunal Shah', ' Sandeep Tandon']",2016
485,2016-12-16,Pi,Technology,Cloud Data Center Solutions provider,hyderabad,Epsilon Venture Partners,Private Equity,23000000,1.0,['Epsilon Venture Partners'],2016
486,2016-12-16,TripShelf,Consumer Internet,Holiday Packages provider,new delhi,"GEMS Advisory, Quarizon",Seed Funding,123000,2.0,"['GEMS Advisory', ' Quarizon']",2016
487,2016-12-19,Events,Consumer Internet,Events & Activities Marketplace,bangalore,Axilor Ventures,Private Equity,1070000,1.0,['Axilor Ventures'],2016
488,2016-12-19,NoBroker,Consumer Internet,Rental property search portal,bangalore,"KTB Network, SAIF Partners, BEENEXT, Digital Garage",Private Equity,7400000,4.0,"['KTB Network', ' SAIF Partners', ' BEENEXT', ' Digital Garage']",2016
489,2016-12-20,VivoCarat,eCommerce,Online jewellery marketplace,mumbai,Undisclosed Investors,Seed Funding,50000,1.0,['Undisclosed Investors'],2016
490,2016-12-20,Tiyo,Consumer Internet,Doctor Search Mobile App,kolkata,Ajith Nair,Seed Funding,1070000,1.0,['Ajith Nair'],2016
491,2016-12-20,Zoomcar,Consumer Internet,Self-Driven Cab booking platform,bangalore,Cyber Carrier CL,Private Equity,1070000,1.0,['Cyber Carrier CL'],2016
492,2016-12-20,BYJU,Consumer Internet,Online Learning platform,bangalore,International Financial Corporation,Private Equity,15000000,1.0,['International Financial Corporation'],2016
493,2016-12-21,Supr,Consumer Internet,Daily Subscription based Delivery service,mumbai,"Dr. Apoorv Ranjan Sharma, Anil Jain, Anuj Golecha, Krishna Jhunjhunwala, Anirudh Damani",Seed Funding,1070000,5.0,"['Dr. Apoorv Ranjan Sharma', ' Anil Jain', ' Anuj Golecha', ' Krishna Jhunjhunwala', ' Anirudh Damani']",2016
494,2016-12-21,The,Consumer Internet,online to offline marketing platform,bangalore,"Indian Angel Network, Let’s Venture",Seed Funding,500000,2.0,"['Indian Angel Network', ' Let’s Venture']",2016
495,2016-12-21,MamaEarth,eCommerce,Babycare Products seller,new delhi,Fireside Ventures & Others,Seed Funding,1070000,1.0,['Fireside Ventures & Others'],2016
496,2016-12-21,Vegetall,eCommerce,Online Vegetable eTailer,chennai,The Chennai Angels,Seed Funding,162000,1.0,['The Chennai Angels'],2016
497,2016-12-22,Innoplexus,Technology,Data as a Service Provider,pune,HCS Venture capital fund,Private Equity,1070000,1.0,['HCS Venture capital fund'],2016
498,2016-12-22,Mindler,Consumer Internet,Career Planning & Assessment platform,new delhi,Taxmann,Seed Funding,324000,1.0,['Taxmann'],2016
499,2016-12-22,MCaffeine,eCommerce,Personal care product etailer,bangalore,"Kaushal Agarwal, Harminder Sahani, KK Mehra, Pranay Jivrajka, Navjot Saini",Seed Funding,300000,5.0,"['Kaushal Agarwal', ' Harminder Sahani', ' KK Mehra', ' Pranay Jivrajka', ' Navjot Saini']",2016
500,2016-12-23,enKast,Technology,Cloud based CRM for Agencies,bangalore,Ivy League Alumni Angel Network,Private Equity,2000000,1.0,['Ivy League Alumni Angel Network'],2016
501,2016-12-23,ShopKirana,eCommerce,B2B platform for Merchants & Retailers,indore,"Incubate Fund, Lead Angels Group & Others",Private Equity,1070000,2.0,"['Incubate Fund', ' Lead Angels Group & Others']",2016
